country,date,daily_vaccinations,total_vaccinations_per_hundred,vaccines
Afghanistan,2021-02-22,,0,Oxford/AstraZeneca
Afghanistan,2021-02-23,1367,,Oxford/AstraZeneca
Afghanistan,2021-02-24,1367,,Oxford/AstraZeneca
Afghanistan,2021-02-25,1367,,Oxford/AstraZeneca
Afghanistan,2021-02-26,1367,,Oxford/AstraZeneca
Afghanistan,2021-02-27,1367,,Oxford/AstraZeneca
Afghanistan,2021-02-28,1367,0.02,Oxford/AstraZeneca
Afghanistan,2021-03-01,1580,,Oxford/AstraZeneca
Afghanistan,2021-03-02,1794,,Oxford/AstraZeneca
Afghanistan,2021-03-03,2008,,Oxford/AstraZeneca
Afghanistan,2021-03-04,2221,,Oxford/AstraZeneca
Afghanistan,2021-03-05,2435,,Oxford/AstraZeneca
Afghanistan,2021-03-06,2649,,Oxford/AstraZeneca
Afghanistan,2021-03-07,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-08,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-09,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-10,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-11,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-12,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-13,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-14,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-15,2862,,Oxford/AstraZeneca
Afghanistan,2021-03-16,2862,0.14,Oxford/AstraZeneca
Albania,2021-01-10,,0,Pfizer/BioNTech
Albania,2021-01-11,64,,Pfizer/BioNTech
Albania,2021-01-12,64,0,Pfizer/BioNTech
Albania,2021-01-13,63,0.01,Pfizer/BioNTech
Albania,2021-01-14,66,0.01,Pfizer/BioNTech
Albania,2021-01-15,62,0.01,Pfizer/BioNTech
Albania,2021-01-16,62,0.01,Pfizer/BioNTech
Albania,2021-01-17,58,0.01,Pfizer/BioNTech
Albania,2021-01-18,55,0.02,Pfizer/BioNTech
Albania,2021-01-19,51,0.02,Pfizer/BioNTech
Albania,2021-01-20,47,0.02,Pfizer/BioNTech
Albania,2021-01-21,40,0.02,Pfizer/BioNTech
Albania,2021-01-22,34,,Pfizer/BioNTech
Albania,2021-01-23,26,,Pfizer/BioNTech
Albania,2021-01-24,21,,Pfizer/BioNTech
Albania,2021-01-25,15,,Pfizer/BioNTech
Albania,2021-01-26,9,,Pfizer/BioNTech
Albania,2021-01-27,4,,Pfizer/BioNTech
Albania,2021-01-28,0,,Pfizer/BioNTech
Albania,2021-01-29,0,,Pfizer/BioNTech
Albania,2021-01-30,0,,Pfizer/BioNTech
Albania,2021-01-31,0,,Pfizer/BioNTech
Albania,2021-02-01,0,,Pfizer/BioNTech
Albania,2021-02-02,0,0.02,Pfizer/BioNTech
Albania,2021-02-03,12,,Pfizer/BioNTech
Albania,2021-02-04,24,,Pfizer/BioNTech
Albania,2021-02-05,35,,Pfizer/BioNTech
Albania,2021-02-06,47,,Pfizer/BioNTech
Albania,2021-02-07,59,,Pfizer/BioNTech
Albania,2021-02-08,71,,Pfizer/BioNTech
Albania,2021-02-09,82,0.04,Pfizer/BioNTech
Albania,2021-02-10,81,,Pfizer/BioNTech
Albania,2021-02-11,79,,Pfizer/BioNTech
Albania,2021-02-12,78,,Pfizer/BioNTech
Albania,2021-02-13,76,,Pfizer/BioNTech
Albania,2021-02-14,75,,Pfizer/BioNTech
Albania,2021-02-15,73,,Pfizer/BioNTech
Albania,2021-02-16,72,,Pfizer/BioNTech
Albania,2021-02-17,72,0.06,Pfizer/BioNTech
Albania,2021-02-18,254,0.11,Pfizer/BioNTech
Albania,2021-02-19,405,0.15,Pfizer/BioNTech
Albania,2021-02-20,516,,Pfizer/BioNTech
Albania,2021-02-21,627,,Pfizer/BioNTech
Albania,2021-02-22,739,0.23,Pfizer/BioNTech
Albania,2021-02-23,891,,Pfizer/BioNTech
Albania,2021-02-24,1043,,Pfizer/BioNTech
Albania,2021-02-25,1012,0.35,Pfizer/BioNTech
Albania,2021-02-26,1000,,Pfizer/BioNTech
Albania,2021-02-27,1027,,Pfizer/BioNTech
Albania,2021-02-28,1054,,Pfizer/BioNTech
Albania,2021-03-01,1081,0.5,Pfizer/BioNTech
Albania,2021-03-02,1026,,Pfizer/BioNTech
Albania,2021-03-03,971,0.55,Pfizer/BioNTech
Albania,2021-03-04,927,,Pfizer/BioNTech
Albania,2021-03-05,897,,Pfizer/BioNTech
Albania,2021-03-06,867,,Pfizer/BioNTech
Albania,2021-03-07,838,,Pfizer/BioNTech
Albania,2021-03-08,808,,Pfizer/BioNTech
Albania,2021-03-09,820,,Pfizer/BioNTech
Albania,2021-03-10,831,0.75,Pfizer/BioNTech
Albania,2021-03-11,857,,Pfizer/BioNTech
Albania,2021-03-12,883,0.82,Pfizer/BioNTech
Albania,2021-03-13,1042,,Pfizer/BioNTech
Albania,2021-03-14,1201,,Pfizer/BioNTech
Albania,2021-03-15,1361,,Pfizer/BioNTech
Albania,2021-03-16,1520,,Pfizer/BioNTech
Albania,2021-03-17,1679,1.16,Pfizer/BioNTech
Albania,2021-03-18,1960,,Pfizer/BioNTech
Albania,2021-03-19,2240,,Pfizer/BioNTech
Albania,2021-03-20,2386,,Pfizer/BioNTech
Albania,2021-03-21,2533,,Pfizer/BioNTech
Albania,2021-03-22,2679,1.68,Pfizer/BioNTech
